domain,count,commercial
gmail.com,10522,0
posit.co,325,0
hotmail.com,279,0
outlook.com,262,0
umich.edu,214,0
R-project.org,211,0
rstudio.com,205,0
163.com,182,0
roche.com,166,1
uw.edu,143,0
inrae.fr,138,0
yahoo.com,125,0
icar.gov.in,124,0
protonmail.com,121,0
case.edu,105,0
berkeley.edu,103,0
umn.edu,103,0
columbia.edu,94,0
wisc.edu,93,0
monash.edu,92,0
lshtm.ac.uk,92,0
stanford.edu,91,0
yale.edu,89,0
ndorms.ox.ac.uk,88,0
duke.edu,81,0
illinois.edu,78,0
ucl.ac.uk,77,0
ucdavis.edu,73,0
appsilon.com,73,1
stat.math.ethz.ch,72,0
fas.harvard.edu,72,0
uwaterloo.ca,70,0
kuleuven.be,69,0
posteo.de,67,0
googlemail.com,66,0
cornell.edu,66,0
iastate.edu,63,0
auckland.ac.nz,63,0
unal.edu.co,63,0
gmx.de,62,0
lancaster.ac.uk,62,0
bsc.es,62,0
medisin.uio.no,60,0
epa.gov,60,0
outlook.fr,59,0
psu.edu,59,0
ucla.edu,59,0
uiowa.edu,59,0
r-project.org,58,0
gmx.net,57,0
imperial.ac.uk,56,0
debian.org,56,0
noaa.gov,56,0
usgs.gov,56,0
wur.nl,55,0
bristol.ac.uk,53,0
usc.edu,53,0
ncsu.edu,52,0
jhu.edu,52,0
msu.edu,50,0
stat.uni-muenchen.de,50,0
helsinki.fi,50,0
cam.ac.uk,50,0
manchester.ac.uk,50,0
uva.nl,49,0
stat.ubc.ca,49,0
statistik.tu-dortmund.de,48,0
wu.ac.at,47,0
uconn.edu,46,0
mcmaster.ca,46,0
mailbox.org,45,0
web.de,45,0
uvigo.es,45,0
novartis.com,44,1
qq.com,44,0
u-bordeaux.fr,44,0
vanderbilt.edu,44,0
ugr.es,44,0
nyu.edu,43,0
lse.ac.uk,43,0
hsph.harvard.edu,43,0
gmx.at,43,0
ujaen.es,43,0
braju.com,42,0
unsw.edu.au,42,0
emory.edu,42,0
uhasselt.be,42,0
uchicago.edu,41,0
usal.es,41,0
austin.utexas.edu,41,0
ed.ac.uk,40,0
ucsd.edu,40,0
math.aau.dk,40,0
umontreal.ca,40,0
certara.com,40,1
rug.nl,39,0
princeton.edu,39,0
nd.edu,39,0
merck.com,39,1
uni-muenster.de,39,0
uni-goettingen.de,39,0
uoc.gr,39,0
fredhutch.org,39,0
csiro.au,39,0
ubc.ca,37,0
warwick.ac.uk,37,0
durham.ac.uk,37,0
mcgill.ca,37,0
pm.me,37,0
ufl.edu,36,0
uv.es,36,0
mail.utoronto.ca,36,0
cnrs.fr,36,0
poissonconsulting.ca,36,1
me.com,35,0
unimelb.edu.au,35,0
gene.com,35,1
unipd.it,35,0
mayo.edu,35,0
mail.mcgill.ca,35,0
cynkra.com,34,1
vt.edu,34,0
utt.fr,34,0
126.com,34,0
adelaide.edu.au,33,0
pik-potsdam.de,33,0
nceas.ucsb.edu,33,0
vumc.org,32,0
univ-lyon1.fr,32,0
g.harvard.edu,32,0
inria.fr,32,0
nih.gov,31,0
ohdsi.org,31,0
uu.nl,31,0
icloud.com,31,0
tu-dresden.de,31,0
thinkr.fr,31,1
yorku.ca,31,0
ku.edu,31,0
cuanschutz.edu,31,0
mit.edu,30,0
utoronto.ca,30,0
asu.edu,30,0
mrc-bsu.cam.ac.uk,30,0
colostate.edu,30,0
stat.tamu.edu,29,0
sund.ku.dk,29,0
unitn.it,29,0
gsk.com,29,1
harvard.edu,29,0
usda.gov,29,0
virginia.edu,29,0
tu-dortmund.de,29,0
iu.edu,29,0
bu.edu,28,0
yihui.name,28,0
microsoft.com,28,1
uibk.ac.at,28,0
unc.edu,28,0
hu-berlin.de,27,0
windsor.ai,27,1
idiv.de,27,0
stjude.org,27,0
u.washington.edu,27,0
rud.is,27,0
mail2.sysu.edu.cn,26,0
uvic.ca,26,0
fda.hhs.gov,26,0
outlook.es,26,0
live.com,26,0
ucd.ie,26,0
yahoo.fr,26,0
iki.fi,26,0
contractors.roche.com,26,1
hms.harvard.edu,26,0
smith.edu,25,0
unina.it,25,0
foxmail.com,25,0
uga.edu,25,0
leeds.ac.uk,25,0
posteo.net,25,0
anu.edu.au,25,0
mdanderson.org,25,0
uzh.ch,25,0
vu.nl,25,0
openanalytics.eu,25,1
ese.eur.nl,25,0
colorado.edu,25,0
erasmusmc.nl,24,1
unibo.it,24,0
uniroma1.it,24,0
unipa.it,24,0
atorusresearch.com,24,1
nygenome.org,24,0
ugent.be,24,0
miami.edu,24,0
agroparistech.fr,23,0
kit.edu,23,0
ird.fr,23,0
gmail.com ,23,0
fsw.leidenuniv.nl,23,0
humanpredictions.com,23,1
tilburguniversity.edu,23,0
sydney.edu.au,23,0
mu.ie,23,0
tamu.edu,23,0
polimi.it,23,0
tum.de,23,0
wharton.upenn.edu,23,0
unige.ch,23,0
si.edu,23,0
sfu.ca,23,0
rice.edu,23,0
northwestern.edu,22,0
brown.edu,22,0
cirad.fr,22,0
uci.edu,22,0
bgc-jena.mpg.de,22,0
usp.br,22,0
pennmedicine.upenn.edu,22,0
mssm.edu,22,0
eic.cefet-rj.br,22,0
math.uzh.ch,21,0
pfizer.com,21,1
u-bordeaux-montaigne.fr,21,0
ualberta.ca,21,0
dfo-mpo.gc.ca,21,0
curtin.edu.au,21,0
ub.edu,21,0
ucsf.edu,21,0
inbo.be,21,0
osu.edu,21,0
meduniwien.ac.at,21,0
statistik.gv.at,21,0
ibge.gov.br,21,0
missouri.edu,20,0
ruc.edu.cn,20,0
uc.cl,20,0
inserm.fr,20,0
hhu.de,20,0
protonmail.ch,20,0
uottawa.ca,20,0
stat.ucla.edu,20,0
nmbu.no,20,0
tcd.ie,20,0
umass.edu,20,0
uke.de,20,0
dartmouth.edu,20,0
utexas.edu,20,0
est-econ.uc3m.es,20,0
liverpool.ac.uk,20,0
nioz.nl,20,0
sciviews.org,20,0
ixpantia.com,20,1
uni-tuebingen.de,19,0
schochastics.net,19,0
boehringer-ingelheim.com,19,1
moffitt.org,19,0
graduateinstitute.ch,19,0
umcg.nl,19,0
hotmail.fr,19,0
stat.umn.edu,19,0
nus.edu.sg,19,0
queensu.ca,19,0
pattern.institute,19,0
usc.es,19,0
uhn.ca,19,0
coolbutuseless.com,19,0
its.jnj.com,19,0
nhh.no,19,0
timelyportfolio.com,19,0
sciencespo.fr,19,0
univie.ac.at,19,0
pitt.edu,18,0
wustl.edu,18,0
uoguelph.ca,18,0
data.org,18,0
udc.es,18,0
ucr.ac.cr,18,0
soton.ac.uk,18,0
stats.ox.ac.uk,18,0
inra.fr,18,0
stat.wisc.edu,18,0
ethz.ch,18,0
nhs.net,18,0
gatech.edu,18,0
uky.edu,17,0
edu.uah.es,17,0
obiba.org,17,0
dal.ca,17,0
ucsb.edu,17,0
colinfay.me,17,0
wiernik.org,17,0
maastrichtuniversity.nl,17,0
uni-koeln.de,17,0
proton.me,17,0
stat.byu.edu,17,0
depauw.edu,17,0
unipg.it,17,0
canberra.edu.au,17,0
st-andrews.ac.uk,17,0
ntnu.no,17,0
math.ku.dk,16,0
yahoo.com.br,16,0
ssi.dk,16,0
business-science.io,16,1
qmul.ac.uk,16,0
utk.edu,16,0
uwo.ca,16,0
bham.ac.uk,16,0
uic.edu,16,0
mac.com,16,0
uni.sydney.edu.au,16,0
post.bgu.ac.il,16,0
upc.edu,16,0
purdue.edu,16,0
unl.edu,16,0
ufmg.br,16,0
ucr.edu,16,0
lilly.com,16,1
fu-berlin.de,16,0
stis.ac.id,16,0
mtholyoke.edu,16,0
ccf.org,15,0
uni-oldenburg.de,15,0
live.unc.edu,15,0
unimib.it,15,0
ec.europa.eu,15,0
stat.columbia.edu,15,0
zju.edu.cn,15,0
u.nus.edu,15,0
snu.ac.kr,15,0
astrazeneca.com,15,1
ufpe.br,15,0
fau.de,15,0
sanofi.com,15,1
massey.ac.nz,15,0
uni-greifswald.de,15,0
rmutt.ac.th,15,0
unil.ch,15,0
bond.edu.au,15,0
gre.ac.uk,15,0
york.ac.uk,15,0
uniovi.es,14,0
hiddenelephants.co.uk,14,0
uni-hamburg.de,14,0
email.unc.edu,14,0
slu.se,14,0
dreamrs.fr,14,1
fishandwhistle.net,14,0
decsai.ugr.es,14,0
ksu.edu,14,0
lyle.smu.edu,14,0
ki.se,14,0
uniklinik-freiburg.de,14,0
well.ox.ac.uk,14,0
ucdenver.edu,14,0
temple.edu,14,0
exeter.ac.uk,14,0
fdv.uni-lj.si,14,0
ensae.fr,14,0
stat.auckland.ac.nz,14,0
rand.org,14,1
mq.edu.au,14,0
stat.fsu.edu,14,0
ehu.eus,14,0
uib.no,14,0
win-vector.com,14,1
civisanalytics.com,14,1
otago.ac.nz,14,0
uts.edu.au,14,0
kof.ethz.ch,14,0
gmu.edu,14,0
stamats.de,14,0
mitchelloharawild.com,14,0
ustc.edu.cn,13,0
uni-due.de,13,0
dtu.dk,13,0
umd.edu,13,0
rub.de,13,0
novonordisk.com,13,1
unibas.ch,13,0
aau.at,13,0
email.com,13,0
nanx.me,13,0
rossellhayes.com,13,0
dirk-schumacher.net,13,0
uvigo.gal,13,0
rapporter.net,13,0
stat.duke.edu,13,0
stat.psu.edu,13,0
sickkids.ca,13,0
mednet.ucla.edu,13,0
statslab.cam.ac.uk,13,0
ovgu.de,13,0
ism.ac.jp,13,0
boku.ac.at,13,0
google.com,13,1
uni-marburg.de,13,0
lumc.nl,13,0
latrobe.edu.au,13,0
ue.wroc.pl,13,0
univ-reunion.fr,13,0
mail.nih.gov,13,0
scharp.org,13,0
ieee.org,13,0
zuckarelli.de,13,0
bluematterscience.com,13,0
uni-jena.de,13,0
uni-bielefeld.de,13,0
statnet.org,13,0
canada.ca,13,0
phs.scot,13,0
plus.ac.at,12,0
econ.au.dk,12,0
rutgers.edu,12,0
